Toxic_Chain_Index,Annotator_NR,Annotator_SR,Annotator_SS,Inter_Annotator,KernelCPD
2045,"[1, 10]","[0, 10]","[1, 10]","[1, 10]","[2, 10, 12, 15, 21]"
2414,"[10, 14]","[10, 14]","[10, 14]","[10, 14]","[11, 12, 21]"
492,"[10, 13, 18]","[10, 12, 18]","[10, 12, 18]","[10, 12, 18]","[10, 14, 18, 21]"
928,"[2, 4, 6, 11]","[2, 6, 8, 11, 18]","[2, 5 ,7, 11]","[2, 6, 11]","[9, 12, 21]"
2421,"[4, 6, 10, 19]","[4, 5, 10, 19]","[4, 5, 10]","[4, 5, 10, 19]","[4, 7, 10, 12, 20, 21]"
3330,"[0, 4, 10, 14]","[0, 4, 12]","[3, 10, 12]","[0, 4, 10, 12]","[2, 4, 9, 13, 15, 16]"
3807,"[10, 14]","[10, 14]","[1, 10, 14]","[10, 14]","[11, 12, 14, 16, 21]"
5238,"[3, 10, 11]","[5, 10]","[5, 10, 11]","[5, 10, 11]","[4, 10, 12, 17, 21]"
6791,"[10, 12]","[6, 10]","[1, 10, 12]","[10, 12]","[5, 10, 12, 13, 21]"
329,"[2, 8]","[2, 8]","[2, 8]","[2, 8]","[2, 8, 16, 21]"
854,"[8, 13, 19]","[7, 13, 19]","[7, 13, 19]","[7, 13, 19]","[8, 10, 12, 14, 19, 21]"
927,"[3, 5, 7, 12]","[3, 5, 7, 13]","[4, 11]","[3, 5, 7]","[10, 13, 19, 21]"
1331,"[9, 11]","[9, 11]","[8, 10]","[9, 11]","[5, 9, 10, 12, 21]"
2277,"[2, 4, 7, 9, 13, 15, 20]","[2, 4, 7, 12, 20]","[1, 5, 7, 9]","[2, 4, 7, 9, 20]",[21]
2459,"[7, 12, 14, 16]","[7, 12, 14, 16]","[7, 12, 14, 16]","[7, 12, 14, 16]","[8, 12, 17, 21]"
4018,"[4, 10, 15, 18]","[4, 10, 15, 18]","[4, 10]","[4, 10, 15, 18]",[21]
6625,"[10, 14]","[7, 10, 14]","[10, 14]","[10, 14]","[8, 10, 12, 13, 21]"
79,"[1, 7, 10]","[1, 7, 10]","[7, 10]","[1, 7, 10]","[1, 3, 7, 12, 21]"
443,"[4, 7, 9]","[4, 7, 9, 11]","[4, 7, 9]","[4, 7, 9]","[4, 8, 9, 12, 21]"
2114,"[7, 10, 13, 16]","[7, 10, 13, 16]","[7, 10, 12]","[7, 10, 13, 16]","[10, 13, 14, 16, 18, 21]"
3558,"[1, 10, 16, 18]","[1, 10, 16, 18]","[1, 10, 16]","[1, 10, 16, 18]","[1, 3, 10, 12, 14, 16, 19, 21]"
5993,"[1, 3, 7]","[1, 3, 7]","[1, 4, 7]","[1, 3, 7]","[2, 5, 7, 9, 12, 14, 18]"
442,"[5, 8, 10, 12]","[5, 8, 10, 12]","[5, 10, 12]","[5, 8, 10, 12]","[5, 9, 10, 13, 21]"
1380,"[5, 10]","[5, 10]","[5, 10]","[5, 10]","[10, 12, 21]"
1521,"[0, 5, 9, 15]","[0, 5, 9, 15, 18]","[5, 9]","[0, 5, 9, 15]","[1, 21]"
1704,"[1, 10, 14]","[1, 14, 18]","[1, 13, 18]","[1, 14, 18]","[1, 14, 20, 21]"
2147,"[10, 12, 14]","[10, 12, 14]","[10, 12]","[10, 12, 14]","[10, 13, 21]"
